# 游戏内文本译文（由 tools/i18n_batch.py 生成，请勿手工编辑）
#
# 覆盖对话、战斗消息、说明文字等；名称类官方译名见 zh_CN_names.txt。
# 同一原文在不同文件里含义不同时，用 @file 限定到具体文件。

"The weak showing by the {STR_VAR_3}\n" = "{STR_VAR_3}的表现太差，\n"
"The weird tree attacked!$" = "奇怪的树发动了攻击！$"
"The weird tree doesn't like the\n" = "奇怪的树不喜欢\n"
"The weirdness disappeared\nfrom the battlefield." = "怪异现象从战场上\n消失了。"
"The wind turned into a\nHEAT WAVE!" = "风变成了\n热风！"
"The winner is {STR_VAR_1}'s {STR_VAR_2}!\n" = "获胜者是{STR_VAR_1}的{STR_VAR_2}！\n"
"The winner is {STR_VAR_1}'s {STR_VAR_2}!{PAUSE_UNTIL_PRESS}$" = "获胜者是{STR_VAR_1}的{STR_VAR_2}！{PAUSE_UNTIL_PRESS}$"
"The wonderful combination of you and\n" = "你与宝可梦那完美的\n"
"The world awaits me as the" = "世界正等着我掀起"
"The world has changed quite a lot\n" = "最近世界发生了\n"
"The world is still to be determined…$" = "世界仍未成定局…$"
"The world needs more land!\p" = "世界需要更多陆地！\p"
"The world needs more water!\p" = "世界需要更多的水！\p"
"The world of TRAINERS is amazing!\p" = "训练家的世界真棒！\p"
"The world should be mine!$" = "世界本该属于我！$"
"The world's children dream\n" = "世界上的孩子们\n"
"The writing is fading as if it was\n" = "字迹已经褪色，好像是\n"
"The {B_ATK_NAME_WITH_PREFIX}'s {B_ATK_ABILITY}\ntakes its toll!" = "{B_ATK_NAME_WITH_PREFIX}的{B_ATK_ABILITY}\n造成了伤害！"
"The {B_CURRENT_MOVE} shielded {B_ATK_TEAM2}\nteam from critical hits!" = "{B_CURRENT_MOVE}保护{B_ATK_TEAM2}\n队伍免受要害攻击！"
"The {B_DEF_NAME_WITH_PREFIX} bounced the\n{B_ATK_NAME_WITH_PREFIX} back!" = "{B_DEF_NAME_WITH_PREFIX}把{B_ATK_NAME_WITH_PREFIX}\n弹了回去！"
"The {B_DEF_NAME_WITH_PREFIX}'s moves\nhave been electrified!" = "{B_DEF_NAME_WITH_PREFIX}的招式\n带电了！"
"The {B_LAST_ITEM} attached itself to\n{B_ATK_NAME_WITH_PREFIX}!" = "{B_LAST_ITEM}附着到了\n{B_ATK_NAME_WITH_PREFIX}身上！"
"The {PKMN} Tracker keeps track of every\n" = "{PKMN}追踪器会记录你\n"
"The {STR_VAR_1} BERRY has already been\nobtained." = "{STR_VAR_1}果\n已经获得过了。"
"The {STR_VAR_1} BERRY transformed into\none {STR_VAR_2} BERRY." = "{STR_VAR_1}果变成了\n一个{STR_VAR_2}果。"
"The {STR_VAR_1} MODE with\nthese members will be canceled.{PAUSE 60}" = "与这些成员的{STR_VAR_1}模式\n将被取消。{PAUSE 60}"
"The {STR_VAR_1} allows you to\n" = "{STR_VAR_1}能让你\n"
"The {STR_VAR_1} can't be scattered\n" = "{STR_VAR_1}没办法撒到\n"
"The {STR_VAR_1} flew away!$" = "{STR_VAR_1}飞走了！$"
"The {STR_VAR_1} is however a very\n" = "不过，{STR_VAR_1}是非常\n"
"The {STR_VAR_1} was placed back\n" = "已经把{STR_VAR_1}\n"
"The {STR_VAR_1} was placed\n" = "{STR_VAR_1}已经\n"
"The {STR_VAR_1} was scattered by\n" = "{STR_VAR_1}被撒到了\n"
"The {STR_VAR_1} was scattered…\p" = "{STR_VAR_1}被撒下了…\p"
"The {STR_VAR_1} you left\n" = "你之前放的{STR_VAR_1}\n"
"The {STR_VAR_2} was transferred\n" = "{STR_VAR_2}已被传送\n"
"The “{STR_VAR_3}”\n" = "“{STR_VAR_3}”这一\n"
"Their lead Pokémon is {STR_VAR_1}.$" = "他们的首发宝可梦是{STR_VAR_1}。$"
"Their strongest Pokémon is\l" = "他们最强的宝可梦是\l"
"Their strongest Pokémon is\n" = "他们最强的宝可梦是\n"
"Then I suppose you have earned\n" = "那么，你大概已经\n"
"Then KIRI was born in the autumn,\n" = "那小桐生在秋天，\n"
"Then fish off its back…\p" = "再从它背上钓鱼…\p"
"Then let us get started!$" = "那就开始吧！$"
"Then let's see how good you are.$" = "那就看看你有多大本事。$"
"Then tell me, have you any tales that\n" = "那告诉我，你有称得上\n"
"Then this song's for you, foolish\n" = "那这首歌送给你，\n"
"Then we'll trade!\n" = "那就成交！\n"
"Then you should be full of energy!$" = "那你应该精力充沛！$"
"Then you will never prevail over me!$" = "那你永远赢不了我！$"
"Then, I'd better get something for it!\p" = "那我得给它弄点什么！\p"
"Then, I'll explain it to you nicely.\p" = "那我好好给你讲讲。\p"
"Then, I'll stay away from that!\p" = "那我就离这句远点！\p"
"Then, here's my question!\p" = "那么，我的问题来了！\p"
"Then, in order to replay it, put this\n" = "然后，想重玩时，把这块\n"
"Then, let's battle.\n" = "那就来对战吧。\n"
"Then, pick the choice you want.\p" = "然后挑出你想要的选项。\p"
"Then, please, tell me anything of\n" = "那么请告诉我，你最近\n"
"Then, the next time you visit the Honey\n" = "之后再来甜甜蜜树时，\n"
"Then, try exploring the GRANITE\n" = "然后去石之洞窟\n"
"Then, uh…\p" = "那么，呃…\p"
"Then, we don't battle with you.\p" = "那我们就不跟你打了。\p"
"Then…$" = "那么…$"
"There appears to be a rumor about\n" = "似乎有关于\n"
"There are 3 different Difficulties:\n" = "难度分3种：\n"
"There are 3 difficulties.\n" = "难度分3种。\n"
"There are a lot of text pieces that\n" = "可以用的文字\n"
"There are also other somewhat-odd\n" = "还有些有点古怪的招式，\n"
"There are defensive moves that are\n" = "有的防御招式\n"
"There are many POKéMON in the sea.$" = "海里有很多宝可梦。$"
"There are no New Quests or Rewards to\n" = "没有新任务或奖励\n"
"There are no Trainers within range\n" = "范围内没有\n"
"There are offensive moves that inflict\n" = "有直接给予对手\n"
"There are places you can and can't\n" = "有些地方能不能到达，\n"
"There are powers beyond our\n" = "世上存在着\n"
"There are rumors that even greater power\n" = "传闻说，它细胞里还藏\n"
"There are some things money can't buy.\n" = "有些东西是钱买不到的。\n"
"There are some things that seem out of\n" = "有些事无论多努力\n"
"There are three Battle Modes.\p" = "共有三种对战模式。\p"
"There are tough TRAINERS galore\n" = "彩幽市周围\n"
"There are two key points to be aware\n" = "交换宝可梦时有两点\n"
"There are two levels of difficulty,\n" = "难度分为两种等级，\n"
"There are {POKEBLOCK} crumbs among with\n" = "{POKEBLOCK}的碎屑中混着\n"
"There could also be an Oddish…\n" = "也可能是走路草…\n"
"There could be no greater lover of\n" = "再没有人更爱\n"
"There could be no more of a homebody\n" = "再没有人更\n"
"There goes my confidence…$" = "我的信心全没了…$"
"There has to be something in there.\n" = "那里肯定有东西。\n"
"There have been reports of a mass\n" = "据报道，发生了大规模\n"
"There is a big hole in the wall.$" = "墙上有个大洞。$"
"There is a different game file that\n" = "另有一份不同的\n"
"There is a member who can no\nlonger remain available.\p" = "有成员已无法\n继续参加。\p"
"There is a mysterious power\l" = "那里有一股\l"
"There is a questionnaire.\n" = "这里有一份问卷。\n"
"There is a ticket here for you.$" = "这里有一张给你的票。$"
"There is already a saved file.\n" = "已有保存记录。\n"
"There is an odd place nearby.\n" = "这附近有个奇怪的地方。\n"
"There is an offer to trade your\nregistered EGG.\lWill you accept this trade offer?" = "有人提出交换你登记的\n蛋。\l要接受这个交换请求吗？"
"There is an offer to trade your\nregistered Lv. {DYNAMIC 0} {DYNAMIC 1}\pin exchange for a\nLv. {DYNAMIC 2} {DYNAMIC 3}.\pWill you accept this trade\noffer?" = "有人提出交换你登记的\nLv. {DYNAMIC 0} {DYNAMIC 1}。\p对方想用\nLv. {DYNAMIC 2} {DYNAMIC 3}来换。\p要接受这个交换\n请求吗？"
"There is much to be learned from\n" = "从你的训练方式里\n"
"There is no deep, hidden meaning\n" = "这话里并没有什么\n"
"There is no relief from\nthis heavy rain!" = "这场大雨\n丝毫没有减弱！"
"There is no single strongest Pokémon or\n" = "没有哪只宝可梦最强，\n"
"There is no stronger TRAINER than I!$" = "没有比我更强的训练家！$"
"There is no such thing as a born genius.\n" = "没有天生的天才。\n"
"There is no way to undo this.\p" = "此操作无法撤销。\p"
"There is none better at using a BERRY\n" = "没人更会用树果\n"
"There is nothing you can do.\p" = "你什么也做不了。\p"
"There isn't a single piece\n" = "这里连一件\n"
"There isn't any way that someone\n" = "像我这样的人，不可能\n"
"There isn't anything special about\n" = "我没有什么\n"
"There may be no winning or losing before\n" = "在真正的全力面前，\n"
"There might be POKéMON that can be\n" = "也许有些宝可梦可以\n"
"There must be a reason why we met.\n" = "我们相遇一定是有原因的。\n"
"There must be four players to play\n" = "此对战模式必须\n"
"There probably is no stronger TRAINER\n" = "大概没有比你\n"
"There was a SHOAL SHELL here.\n" = "这里曾有浅滩贝壳。\n"
"There was a crazy guy who said he was\n" = "刚才有个自称来自\n"
"There was some SHOAL SALT here.\n" = "这里曾有浅滩海盐。\n"
"There will be 3 rounds, you will have to\n" = "共有 3 轮，你需要\n"
"There will be 6 rounds, I'll show you a\n" = "共有 6 轮，我会给你看一个\n"
"There will be 6 rounds, just guess if the\n" = "共有 6 轮，只需猜猜\n"
"There will be 6 rounds, you will asked a\n" = "共有 6 轮，你会被问到\n"
"There will be 6 rounds, you will have to\n" = "共有 6 轮，你需要\n"
"There won't be a battle after all!\p" = "结果还是没打起来！\p"
"There you are!\n" = "给你！\n"
"There you are!\p" = "你回来啦！\p"
"There you have it, folks!\p" = "各位，就是这样！\p"
"There! Done!$" = "好了！完成了！$"
"There're a lot of places where you can\n" = "能建秘密基地的地方\n"
"There're a lot of places where\n" = "能建秘密基地的地方\n"
"There're lots of diving spots in\n" = "这附近的海里\n"
"There's Quest rewards to collect!$" = "有任务奖励可以领取！$"
"There's a POKéMON move that lets\n" = "有种宝可梦招式能让你\n"
"There's a big river here, and\n" = "这里有条大河，而且\n"
"There's a chance that they'll air this\n" = "这有可能在电视上\n"
"There's a collector who's after\n" = "有个收藏家想要\n"
"There's a definite bond between you and\n" = "你和宝可梦之间\n"
"There's a huge tower there.\l" = "那里有座巨大的塔。\l"
"There's a move that gets stronger\n" = "有个招式，连续使用\n"
"There's a rumor going around that\n" = "有传闻说，\n"
"There's a set of POKéMON picture books.$" = "有一套宝可梦绘本。$"
"There's a small indent in the wall.$" = "墙上有个小凹坑。$"
"There's a small indent in the wall.\p" = "墙上有个小凹坑。\p"
"There's a small package with a note\l" = "有个小包裹，上面\l"
"There's an e-mail from POKéMON TRAINER\n" = "有一封来自宝可梦训练家\n"
"There's an expert for you.$" = "这才是高手啊。$"
"There's even some exclusive Rewards\n" = "在更高难度完成\n"
"There's going to be a TV special on\n" = "马上会有关于\n"
"There's no PP left for\nthis move!\p" = "这个招式的\nＰＰ不够了！\p"
"There's no avoiding it now.\n" = "这下躲不过去了。\n"
"There's no getting away now!$" = "现在可跑不掉了！$"
"There's no holding back!$" = "我可不会手下留情！$"
"There's no more room for POKéMON!\p" = "没有更多空间放宝可梦了！\p"
"There's no need to panic or stress.\n" = "不用慌也不用急。\n"
"There's no need to talk.\n" = "不必多说了。\n"
"There's no other way around that!$" = "这是唯一的办法！$"
"There's no other word for it.\n" = "除此之外没别的说法。\n"
"There's no point talking about me!$" = "说我自己没什么意义！$"
"There's no question about that?\p" = "那毫无疑问吗？\p"
"There's no shame in losing.\p" = "输了并不丢人。\p"
"There's no telling what we'll encounter\n" = "到了那里会遇到什么\n"
"There's no way you'd be able to deal\n" = "反正你根本\n"
"There's no way!$" = "不可能！$"
"There's nothing I love more than\n" = "我最喜欢做的事就是\n"
"There's nothing definite." = "没有什么是绝对的。"
"There's nothing for a loser.\n" = "输家没什么好留的。\n"
"There's nothing in place here.\p" = "这里什么都没有。\p"
"There's nothing more to say.$" = "没什么好说的了。$"
"There's nothing to remove here.\n" = "这里没有可移除的东西。\n"
"There's nothing worse than when I'm on\n" = "最糟的就是冒险时\n"
"There's only one thing to be said.\n" = "有一件事必须说清楚。\n"
"There's plenty strong of Trainers still\n" = "前面还有很多强大的\n"
"There's so much that I want to know…$" = "我有好多想知道的事…$"
"There's some strange noises coming\n" = "空地那边传来了\n"
"There's something I just can't decide…\p" = "有件事我就是决定不了……\p"
"There's something I want you to hear.\p" = "有件事我想让你听听。\p"
"There's something I wanted to ask you.\p" = "有件事我想问你。\p"
"There's something about this TRAINER\n" = "这位训练家身上有种\n"
"There's somewhere even better.\p" = "还有更厉害的地方。\p"
"There's still more for you to see!$" = "还有更多东西等着你看！$"
"There's supposed to be a mystical\n" = "听说这附近有块\n"
"These LVLs don't work entirely the same\n" = "这些等级的作用与\n"
"These Quests will prove your skill with\n" = "这些任务会检验你\n"
"These REWARD EVs will be given based on\n" = "奖励努力值会依据\n"
"These are all just weak!$" = "这些都太弱了！$"
"These are the Berries which produce\n" = "能产出以下口味的树果有：\n"
"These bugs will NOT be fixed and could\n" = "这些错误不会修复，可能\n"
"These outfits are in need of a glow up.$" = "这些制服该好好翻新了。$"
"These tickets will get you to islands\n" = "这些票能带你去\n"
"These {STR_VAR_1} flowers are blooming\n" = "这些{STR_VAR_1}的花开得\n"
"They actually seemed rather friendly to\l" = "它们其实对我挺\l"
"They all get away from me!\p" = "它们全从我手里跑了！\p"
"They all ogle me!$" = "个个都盯着我看！$"
"They also must not be holding\n" = "而且不能携带\n"
"They also must not hold the same\n" = "而且不能携带\n"
"They appear eager to battle anywhere,\n" = "它们看起来随时都想\n"
"They appear to be looking forward\l" = "它们好像很期待\l"
"They are arranged in groups like\n" = "它们按宝可梦、生活方式、\n"
"They are growing admirably.$" = "它们成长得令人钦佩。$"
"They are very hard, cold, sharp, and\n" = "它们又硬又冷又锋利，\n"
"They can even have different Abilities\n" = "它们有时甚至还会拥有\n"
"They dance their socks off every time\n" = "每次对战它们都\n"
"They did take flight…$" = "它们确实起飞了…$"
"They didn't just look strong,\n" = "它们不只是看起来强，\n"
"They even keep track of the last few\n" = "他们甚至记录了你在\n"
"They gave RUSTURF TUNNEL its name\n" = "卡绿隧道之所以叫这名，\n"
"They gave ample proof of {STR_VAR_1}'s\n" = "它们充分证明了 {STR_VAR_1}\n"
"They go so wonderfully together!\p" = "它们搭配起来多么美妙！\p"
"They grew lots of flowers.\p" = "它们开了好多花。\p"
"They named it that because it\l" = "它叫这名字是因为\l"
"They never get angry.\n" = "从来不生气。\n"
"They represented {STR_VAR_1}'s\n" = "它们代表着 {STR_VAR_1}\n"
"They said I was a punk, but" = "他们说我像小混混，"
"They said you won your way through\n" = "听说你一路赢过去，通过了\n"
"They said you won {STR_VAR_3} straight\n" = "听说你连胜了{STR_VAR_3}场，\n"
"They said you won {STR_VAR_3} titles\n" = "听说你拿下了{STR_VAR_3}个冠军头衔，\n"
"They say CAPT. STERN discovered\n" = "听说斯坦船长发现了\n"
"They say that good times are filled\n" = "人们说美好的时光\n"
"They say that you can't judge a person\n" = "人们说不能凭外表\n"
"They say you climbed {STR_VAR_3} floors\n" = "听说你爬了{STR_VAR_3}层楼，\n"
"They say you did excellent at\n" = "听说你在\n"
"They say you won in {STR_VAR_3} rooms\n" = "听说你在{STR_VAR_3}个房间里获胜，\n"
"They say you won {STR_VAR_3} events\n" = "听说你赢过{STR_VAR_3}场比赛，\n"
"They say you won {STR_VAR_3} straight\n" = "他们说你连胜了{STR_VAR_3}场，\n"
"They say, like a mirage, it can be\n" = "据说它像海市蜃楼一样，\n"
"They say, like a mirage, it seems\n" = "据说它像海市蜃楼一样\n"
"They spot prey from great heights.$" = "从高空也能发现猎物。$"
"They will cost less.$" = "会更便宜。$"
"They will cost more.$" = "会更贵。$"
"They will go on until the only thing left\n" = "他们会一直这样，直到只剩\n"
"They will grow whilst you are out\n" = "你外出冒险时\n"
"They'll usually already have a good\n" = "它们通常已经有不错的\n"
"They're ELECTRIC!" = "它们是电属性的！"
"They're a location that Wild Pokémon\n" = "那是野生宝可梦喜欢\n"
"They're all gritty!$" = "硌得难受死了！$"
"They're cute the way they are, though.$" = "可它们现在这样很可爱。$"
"They're great, your POKéMON!\n" = "你的宝可梦真棒！\n"
"They're intensely focusing on using the\n" = "他们正全神贯注地操作\n"
"They're not going to buckle easily,\n" = "可不会轻易发软，\n"
"They're still the strongest in my world.$" = "在我的世界里它们最强。$"
"They're the best!$" = "它们是最棒的！$"
"The…\n" = "那个…\n"
"Thing" = "东西"
"Things haven't changed for me at all.\p" = "我这边一点都没变。\p"
"Things like what I can do with my life,\n" = "比如我的人生能做什么，\n"
"Think fast!$" = "小心了！$"
"Think it's about time to see fer myself\n" = "是时候让我亲眼看看\n"
"Think of how beautiful the world could\n" = "想想你加入我们后，\n"
"Think of the possibilities!$" = "想想有多少可能！$"
"Think you can take them?$" = "你觉得能赢它们吗？$"
"Thinks bad thoughts to\n" = "想些坏主意，\n"
"This Berry has a refreshing dry and" = "这树果有清爽的干涩酸"
"This Berry is said to be a cross of" = "据说这树果是两种"
"This Berry was the seventh" = "这是世界上第七种"
"This Pokémon League is always\n" = "这个宝可梦联盟总是\n"
"This Pokémon has lived with people since\n" = "这只宝可梦自古以来就\n"
"This Pokémon is capable of changing its\n" = "这只宝可梦装备特别的\n"
"This Pokémon is shaped like ancient text\n" = "这只宝可梦的外形像古\n"
"This Pokémon needs move moves before I\n" = "这只宝可梦得先多学些招式，我\n"
"This Pokémon's type changes based on\n" = "这只宝可梦的属性会随\n"
"This TRADING BOARD is used for\n" = "这块交换板用于\n"
"This TRAINER bathed in hot springs\n" = "这位训练家泡温泉\n"
"This TRAINER battled {STR_VAR_1} times!\p" = "这位训练家对战了{STR_VAR_1}次！\p"
"This TRAINER bought items in shops\n" = "这位训练家在商店购物\n"
"This TRAINER caught\n" = "这位训练家捕捉了\n"
"This TRAINER checked a POKéDEX\n" = "这位训练家查看宝可梦图鉴\n"
"This TRAINER checked the time\n" = "这位训练家查看时间\n"
"This TRAINER entered CONTESTS\n" = "这位训练家参加华丽大赛\n"
"This TRAINER got interviewed\n" = "这位训练家接受了采访\n"
"This TRAINER got soaked by rain\n" = "这位训练家被雨淋湿\n"
"This TRAINER had to rely on STRUGGLE\n" = "这位训练家不得不靠挣扎\n"
"This TRAINER hatched {STR_VAR_1} POKéMON\n" = "这位训练家孵出了{STR_VAR_1}只宝可梦\n"
"This TRAINER healed POKéMON\n" = "这位训练家在宝可梦中心\n"
"This TRAINER is too busy to\n" = "这位训练家太忙了，\n"
"This TRAINER jumped down ledges\n" = "这位训练家跳下台阶\n"
"This TRAINER left POKéMON with the\n" = "这位训练家把宝可梦寄放在\n"
"This TRAINER made {POKEBLOCK}S\n" = "这位训练家制作{POKEBLOCK}\n"
"This TRAINER made {STR_VAR_1} POKéMON\n" = "这位训练家让{STR_VAR_1}只宝可梦\n"
"This TRAINER moved the SECRET BASE\n" = "这位训练家移动秘密基地\n"
"This TRAINER planted BERRIES\n" = "这位训练家种下树果\n"
"This TRAINER received RIBBONS\n" = "这位训练家获得奖章\n"
"This TRAINER rode the CABLE CAR\n" = "这位训练家乘坐缆车\n"
"This TRAINER saved the game\n" = "这位训练家保存游戏\n"
"This TRAINER started new trends\n" = "这位训练家引领新潮流\n"
"This TRAINER swapped BIKES\n" = "这位训练家交换自行车\n"
"This TRAINER took the BATTLE TOWER\n" = "这位训练家挑战对战塔\n"
"This TRAINER used CUT\n" = "这位训练家使用居合劈\n"
"This TRAINER used ROCK SMASH\n" = "这位训练家使用碎岩\n"
"This TRAINER used SPLASH\n" = "这位训练家使用跃起\n"
"This TRAINER used an ITEMFINDER\n" = "这位训练家使用道具探测器\n"
"This TRAINER watched TV\n" = "这位训练家看电视\n"
"This TRAINER went into the SAFARI ZONE\n" = "这位训练家进入野生原野区\n"
"This TRAINER won CONTESTS\n" = "这位训练家在华丽大赛夺冠\n"
"This TRAINER won POKéMON LOTTERIES\n" = "这位训练家在宝可梦抽奖中奖\n"
"This TRAINER won in ROULETTE\n" = "这位训练家在轮盘上\n"
"This TRAINER won the jackpot on\n" = "这位训练家在老虎机上\n"
"This area is still under construction.\n" = "这片区域还在建设中，\n"
"This attack always results\n" = "这个招式\n"
"This attack does Fighting\n" = "这个招式造成\n"
"This beach is my secret training spot!\n" = "这片海滩是我的秘密训练场！\n"
"This berry has a vegetable-like flavor," = "这种树果有蔬菜般的味道，"
"This building grants access to external\n" = "这栋建筑可让你使用外部\n"
"This can be played in any adventure\n" = "可用于任意类型的\n"
"This can't be good {PLAYER}.\p" = "这可不妙，{PLAYER}。\p"
"This can't be!$" = "这不可能！$"
"This cannot be turned off once Enabled.\n" = "启用后无法关闭。\n"
"This century's last Venus--\n" = "本世纪最后的维纳斯…\n"
"This changes nothing!$" = "这改变不了什么！$"
"This concludes this episode of\n" = "本期节目就到这里，\n"
"This control will only affect you, the\n" = "此设置只影响你，\n"
"This data can't be used in\nthis version." = "此数据无法在\n本版本中使用。"
"This data is already registered.\n" = "这份数据已经登记过了。\n"
"This desert hoards mysteries in\n" = "这片沙漠在流动的\n"
"This device gives\n" = "这个装置能把\n"
"This device grants\n" = "此装置可以\n"
"This doesn't change my goal.\p" = "这不会改变我的目标。\p"
"This dude just lost one…$" = "本大爷刚跑了一条…$"
"This dude thinks you're a big one.\n" = "本大爷觉得你就是条大鱼。\n"
"This empty space has an effect on\n" = "这片空白影响着\n"
"This features is intended to be a\n" = "此功能是为\n"
"This feeling is hard to explain.$" = "这种心情，实在难以言说。$"
"This field is an area which will allow\n" = "这片田地能让电脑里的\n"
"This form excels in both attack\n" = "这个形态的攻击和防御\n"
"This form is the most aggressive,\n" = "这个形态最为凶猛，会\n"
"This girl I like started crying!\n" = "我喜欢的女孩哭了！\n"
"This glass returns\n" = "这面镜子能让\n"
"This has been a live broadcast from\n" = "本次直播来自\n"
"This has nothing to do with anything,\n" = "虽然毫不相干，\n"
"This has to be some kind of mistake. I\n" = "这一定是哪里搞错了。\n"
"This intense feeling that floods me\n" = "败北之后涌上心头的\n"
"This is DEVON CORPORATI…\l" = "这里是得文公司…\l"
"This is Zygarde when about 10% of\n" = "这是约10%的细胞聚集\n"
"This is a dream.\n" = "这是梦。\n"
"This is a high stakes mode intended for\n" = "这是高风险模式，面向更快、\n"
"This is a huge scoop for us!$" = "这可是大独家！$"
"This is a new experience for me.$" = "这对我来说是新体验。$"
"This is a popular spot.\n" = "这里很抢手，\n"
"This is a really comfortable outfit, you\n" = "这身衣服真的很舒服，\n"
"This is a signpost.$" = "这是一块告示牌。$"
"This is a special presentation for\n" = "这是献给全丰缘\n"
"This is a tale of a TRAINER\n" = "这是一个关于训练家\n"
"This is a test message.\n" = "这是一条测试信息。\n"
"This is an impressive POKéDEX!$" = "这图鉴真了不起！$"
"This is coming along pretty good.\n" = "进展得相当顺利。\n"
"This is embarrassing…\p" = "真难为情…\p"
"This is fantastic! You and your Pokémon\n" = "太好了！你和宝可梦\n"
"This is going to be a fantastic\n" = "这会是一本很棒的\n"
"This is gonna be a doozy of a battle!$" = "这会是场惊天动地的对战！$"
"This is gonna be great!$" = "这一定很棒！$"
"This is hardly your first run!\p" = "这可不是你第一次冒险！\p"
"This is it. I must give up my title and\n" = "事已至此。我只好放弃头衔，\n"
"This is just our private world of two!$" = "这里只属于我们两个人！$"
"This is legit incredible! You're the\n" = "这真的太厉害了！你是\n"
"This is live from the GAME CORNER--\n" = "这是从游戏城发来的现场直播，\n"
"This is my SECRET BASE.\n" = "这是我的秘密基地，\n"
"This is my awesome BUG POKéMON!\n" = "这是我超厉害的虫属性宝可梦！\n"
"This is my favorite kind of POKéMON!$" = "这是我最喜欢的宝可梦！$"
"This is my first day!\p" = "今天是我第一天！\p"
"This is my first triathlon.\n" = "这是我第一次铁人三项。\n"
"This is nerve-racking, though.\n" = "不过，这还真让人紧张。\n"
"This is nerve-racking…\n" = "真让人紧张…\n"
"This is no lie, though.\n" = "不过这个不是骗你的。\n"
"This is no place for kids!$" = "这里不是小孩该来的地方！$"
"This is no place for snot nosed kids!$" = "这里不是小鬼该来的地方！$"
"This is pathetic!$" = "真是太惨了！$"
"This is prewritten text so I really have\l" = "这是预先写好的台词，\l"
"This is sample message 1.$" = "这是示例消息1。$"
"This is sample message 2.$" = "这是示例消息2。$"
"This is sample message 3.$" = "这是示例消息3。$"
"This is sample message 4.$" = "这是示例消息4。$"
"This is so exciting!$" = "好期待啊！$"
"This is so humiliating for me!$" = "这对我来说太丢脸了！$"
"This is so nerve-racking…\p" = "太让人紧张了…\p"
"This is the CONFIG LAB!\p" = "这里是配置实验室！\p"
"This is the POKéMON LOTTERY CORNER.\p" = "这里是宝可梦抽奖中心。\p"
"This is the POKéMON WIRELESS CLUB\n" = "这里是宝可梦无线\n"
"This is the PRETTY PETAL flower shop.\n" = "这里是美丽花瓣花店，\n"
"This is the news you've all been\n" = "这是大家期待已久的\n"
"This is the perfect place to train.$" = "这里最适合训练了。$"
"This is the place!\p" = "就是这里!\p"
"This is the prize we've been holding\n" = "这是我们一直为你\n"
"This is too humiliating!$" = "这太丢脸了！$"
"This is what I do to people who beat me!\n" = "这就是我对打赢我的人做的事！\n"
"This is what the TRAINER had to say:\n" = "训练家是这样说的：\n"
"This is what you call “cut”!$" = "这才叫“刀刻”般的腹肌！$"
"This is where you and I part!$" = "我们就此告别吧！$"
"This is where you come in, {PLAYER}{KUN}!\n" = "这就轮到你了，{PLAYER}{KUN}！\n"
"This is {DYNAMIC 0} {DYNAMIC 1}'s\nTRAINER CARD…\l{DYNAMIC 2}\pPOKéDEX: {DYNAMIC 3}\nTIME:    {DYNAMIC 4}:{DYNAMIC 5}\p" = "这是{DYNAMIC 0} {DYNAMIC 1} 的\n训练家卡…\l{DYNAMIC 2}\p宝可梦图鉴: {DYNAMIC 3}\n时间:    {DYNAMIC 4}:{DYNAMIC 5}\p"
"This is {STR_VAR_1} speaking.\l" = "我是{STR_VAR_1}。\l"
"This is {STR_VAR_1} speaking.\p" = "我是{STR_VAR_1}。\p"
"This is {STR_VAR_1}! I can't wait to\n" = "我是{STR_VAR_1}！我迫不及待\n"
"This is {STR_VAR_1}!\l" = "我是{STR_VAR_1}！\l"
"This is {STR_VAR_1}!\n" = "我是{STR_VAR_1}！\n"
"This is {STR_VAR_1}!\p" = "我是{STR_VAR_1}！\p"
"This is {STR_VAR_1}. Today, I had\n" = "我是{STR_VAR_1}。今天，我\n"
"This is {STR_VAR_1}.\l" = "我是{STR_VAR_1}。\l"
"This is {STR_VAR_1}.\n" = "我是{STR_VAR_1}。\n"
"This is {STR_VAR_1}.\p" = "我是{STR_VAR_1}。\p"
"This is {STR_VAR_1}…\n" = "我是{STR_VAR_1}…\n"
"This isn't going to bring me down!\n" = "这可打击不了我！\n"
"This isn't what I meant!$" = "我不是这个意思！$"
"This kid's awfully tough…$" = "这孩子真够强的…$"
"This loss shocks me!$" = "这场败仗让我震惊！$"
"This match ended in victory for\n" = "获胜的是\n"
"This move can be learned only\n" = "这个招式只能学习\n"
"This move can't be used. Its\n" = "此招式无法使用，\n"
"This move deals more damage\n" = "每有一名同伴倒下，\n"
"This move effect is not done yet!\p" = "这个招式效果还没做好！\p"
"This move's power doubles\n" = "电气场地上\n"
"This move's power increases\n" = "此招式的威力\n"
"This must be your first time\n" = "这应该是你第一次\n"
"This must have been fated.\l" = "这一定是命运。\l"
"This nickname is…$" = "这个昵称是…$"
"This one!\p" = "就这个！\p"
"This proves nothing!$" = "这什么都证明不了！$"
"This question also relates to your\n" = "这个问题也和心爱的\n"
"This road here…\n" = "这条路…\n"
"This rock appears to be breakable.\n" = "这块岩石似乎可以打碎。\n"
"This save game was detected to have\n" = "检测到此存档来自\n"
"This save has already been reloaded.\p" = "此存档已经重新载入过了。\p"
"This sequence remains unchanged\n" = "即使进行了交换，\n"
"This sort of distance…\n" = "这么点距离…\n"
"This space is kept deliberately\n" = "这个空间是刻意\n"
"This stone enables\n" = "这块石头能让\n"
